==== bert_W_QKV (128,768,768), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_dummy_pcg/bert_W_QKV_party0.bin
[PCG] Matrix: [128×768] × [768×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×768] × [768×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 129: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 130: total=2.96 ms, PRG=0.07 ms, comm=2.14 ms, GEMM=0.28 ms
Iter 131: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 132: total=3.02 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 133: total=3.02 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 134: total=3.05 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.27 ms
Iter 135: total=3.00 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 136: total=3.05 ms, PRG=0.07 ms, comm=2.25 ms, GEMM=0.28 ms
Iter 137: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 138: total=3.00 ms, PRG=0.07 ms, comm=2.17 ms, GEMM=0.28 ms
Iter 139: total=3.04 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 140: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.27 ms
Iter 141: total=2.99 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.27 ms
Iter 142: total=2.99 ms, PRG=0.07 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 143: total=3.01 ms, PRG=0.07 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 144: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 145: total=3.02 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 146: total=3.03 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 147: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 148: total=3.88 ms, PRG=0.07 ms, comm=3.07 ms, GEMM=0.28 ms
Iter 149: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 150: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.27 ms
Iter 151: total=2.99 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 152: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.27 ms
Iter 153: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 154: total=3.03 ms, PRG=0.07 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 155: total=3.06 ms, PRG=0.07 ms, comm=2.26 ms, GEMM=0.28 ms
Iter 156: total=3.05 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 157: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 158: total=3.05 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.27 ms
Iter 159: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 160: total=3.04 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
